study_hours,sleep_hours,stress_level,mood_level,screen_time,burnout_label
6.245071229516849,8.679226523903203,1.8248217250256185,1.592192442122609,2.704759592552599,Not Burnout
5.292603548243223,8.109560419495322,2.355481329284482,2.6396149892204983,3.9531947665913743,Not Burnout
6.471532807151039,7.071556443904209,1.7075800790000386,3.086394466578356,4.02702530806667,Not Burnout
7.784544784612038,6.223675866753311,2.1920384703609597,5.0,4.708945518765108,Not Burnout
5.148769937914996,7.837867976336308,1.0,4.0565531245337585,1.9497124550787603,Not Burnout
5.148794564576229,7.472182462506099,2.7132937073729386,2.1645184309001086,4.888850910770996,Not Burnout
7.868819223261087,8.074231864033278,2.5012054753622244,3.986036289417637,1.0,Not Burnout
6.651152093729364,7.762206162018363,1.6829113689318094,1.9526960110616345,3.0551731714542845,Not Burnout
4.795788421097572,8.259463258383203,3.159245668432405,4.582691053887073,3.2675892363226833,Not Burnout
6.3138400653789475,6.357717746127318,3.437570137626558,3.0288753481821216,4.9499902391068575,At Risk
4.804873460781307,8.580872878761191,1.0,3.406363811260829,4.033946279015304,Not Burnout
4.801405369644614,7.237119525630879,1.7372752214337859,4.82579664754219,1.89165541921557,Not Burnout
5.862943407349051,9.490313047150318,1.7308576502127018,2.21283643141575,2.5225103112744773,Not Burnout
2.6300796330133034,6.1729746182925185,1.5600968988911355,2.1028818148870085,4.298020014321111,Not Burnout
2.9126232512304506,9.0831565637983,3.3294748419317486,2.916400673653995,3.8813989872031653,Not Burnout
4.6565687061385415,7.237492940155177,2.3061738612271965,4.538378851019317,3.13131383554638,Not Burnout
3.980753319498364,6.218298395662662,2.2354851586893894,1.9806539245231576,3.278749315732031,Not Burnout
5.971370998892911,6.419336999134814,1.0,1.0,5.044251995738934,Not Burnout
4.137963886718183,6.615583230166816,3.1354180302092263,3.048841141591001,3.2234611406961777,Not Burnout
3.381544447997063,7.508999135682299,1.2607416051465274,4.05174079991092,3.8678631339563903,Not Burnout
7.698473153382331,7.627402585642599,2.5599326302663283,4.7002617497388295,7.254904882120814,Not Burnout
5.161335549270197,6.311559995273705,2.777376937958192,3.036838637914601,1.8644760446741153,Not Burnout
5.601292307031886,6.97077448928682,3.8606585958386512,3.0885733928839976,1.2222359026380119,Not Burnout
3.3628777206798146,9.570724430334236,1.191179600880888,4.653900734255747,5.175384497197911,Not Burnout
4.683425913212226,9.073051804120853,1.0,1.6302583003045794,2.982035408058845,Not Burnout
